smiles,qed,sas,weight,logP,gsk3b,jnk3
COc1cc(Nc2cc(ccn2)-c2nc(sc2)NC(=O)C2CC2)ccc1,0.679915418,2.146121182,366.446,4.3058,-8.5,-7.8
c1c(nccc1)C1C(NC(C=1c1cc(NC2CCCCC2)ncc1)=O)=O,0.830242339,2.540047708,348.406,2.7884,-8.9,-8.6
c1c(-c2ccnc(NC3CCOCC3)c2)n[nH]c1-c1cc(NC(C)C)ncc1,0.602030481,2.753488408,378.48,3.9449,-8.8,-8.4
O=C(C1C(c2cc(OC)ccc2)C(=O)NC=1Nc1ccc(OC)cc1)N,0.733829041,2.880297576,353.378,1.7262,-8.1,-7.6
c1(ccc(cc1)C1=C(c2c3cc(Cl)ccc3ncc2)C(NC1=O)=O)F,0.71689064,2.274330326,352.752,3.5945,-8.7,-8.3
C1CC(CCN1C(=O)c1ccc(cc1)OC)Nc1ncc(c(c1)-c1cc(Nc2cnccc2)ncc1)Cl,0.328444808,2.549791816,515.017,5.6609,-9.9,-9.1
c1(cc2c(cc1)c(NC(CCC)=O)n[nH]2)-c1ccccc1,0.758874824,1.979329371,279.343,3.9685,-8,-7.9
OC1CCC(CC1)Nc1nc2c(cn1)ccc(n2C(C)C)=O,0.907201535,2.599664796,302.378,2.0878,-7.7,-7.5
C1CC(Nc2nccc(c2)C2=C(C(=O)NC2=O)c2cccc(c2)Cl)CCC1,0.783688512,2.451789275,381.863,4.0468,-9.4,-8.6
c1cc(ccc1Cl)Nc1c(C(=O)N)cnc(n1)NC1CCOCC1,0.767847492,2.284487653,347.806,2.5634,-8.6,-7.7
O=c1n(cc(CN2CCC(CC2)C(O)=O)c2c1cc(cc2F)F)C,0.932507152,2.451309727,336.338,2.1133,-8.2,-8.1
c1(nccc(C2=C(c3cn(c4ccccc43)C)C(NC2=O)=O)c1)NC1CCCC1,0.673202053,2.577695691,386.455,3.495,-8.9,-8.5
n1c(OC)c(-c2cnc3c(c2)ccc(n3C)=O)ccc1NC1CCC(N)CC1,0.723658015,2.741686968,379.464,2.6859,-8.6,-8.4
C1=CC(C=CC1=O)=Cc1ccc(-c2n(c(=O)[nH]n2)-c2ccc(cc2)Cl)cc1,0.752994218,2.547368565,375.815,3.9595,-8.6,-8.5
c1(ccc(cc1)F)-c1cc(nc(NC2CCC(CO)CC2)n1)C1CCC1,0.82822247,2.373373489,355.457,4.5132,-9,-8.2
c1cnccc1C1C(NC(=O)C=1c1cc(NC2CCOCC2)ncc1)=O,0.814437546,2.651842647,350.378,1.6347,-8.9,-8.5
c1(ccc(-c2ccnc3cc(ccc23)Cl)cc1)CC(=O)N,0.802865322,1.908265159,296.757,3.583,-8.3,-8.1
c1c(NC(=O)C2CC2)nc(cc1-c1ccc2c(c1)cccc2)C,0.770386832,1.956540472,302.377,4.55872,-8.9,-8.4
c1(NC2CCOCC2)nccc(-c2n[nH]c(n2-c2cc3c(cc2)cccc3)=O)c1,0.560847365,2.543330396,387.443,3.3667,-9.1,-9.7
N1C(=O)C(C(=O)N)=C(C1=O)c1ccc(Cl)c(c1)OC,0.612055904,2.421108672,280.667,0.2439,-7.1,-7.1
c1cc(C2=C(c3ccc(cc3)F)C(=O)NC2=O)cc(-c2ccccn2)c1,0.74048934,2.175377182,344.345,3.4549,-9.4,-9.4
c12c(NC(C3CCC(O)CC3)=O)n[nH]c1cc(cc2)-c1cc(ncc1)NC(C)=O,0.542926022,2.550988184,393.447,3.0729,-9.8,-8.5
c1c(c(ccc1C1C(=O)NC(=O)C=1c1cc(OC)ccc1)O)O,0.591798722,2.270832561,311.293,1.6736,-8.2,-8.3
c1ccc(c(Br)c1)C1=C(C(NC1=O)=O)c1ccnc(NC2CCCC2)c1,0.750652513,2.483858413,412.287,3.7658,-8.8,-8
O=C1NC(=O)C(c2c(F)cc(F)cc2)=C1c1cc(NC2CCOCC2)ncc1,0.790955113,2.652270237,385.37,2.5179,-9.2,-9.2
c1c(cc(cc1)C1C(NC(C=1c1ccnc(NC2CCC2)c1)=O)=O)OC,0.811326201,2.423697473,349.39,2.6218,-8.7,-8.2
C(O)CNc1nccc(C2=C(C(NC2=O)=O)c2ccc(cc2)F)c1,0.717770142,2.422109275,327.315,1.1921,-7.9,-7.6
N(c1nccc(-c2ncc(s2)C(=O)N)c1)C(C1CC1)=O,0.893340737,2.403167169,288.332,1.6525,-7.2,-6.8
O=C(c1cc2c(cc1)[nH]nc2NC1CCOCC1)NC(C)CC,0.792204816,2.830899487,316.405,2.6821,-8,-7.8
O=C1NC(=O)C(=C1c1ccncc1)c1cc(NC2CCCCC2)ncc1,0.830242339,2.52048455,348.406,2.7884,-9.2,-8.5
N1C(C(=C(C1=O)c1cc(OC)c(c(OC)c1)OC)c1cc(N(C)C)ncc1)=O,0.760115718,2.567432919,383.404,1.7406,-8.4,-7.4
c1cc(cc(c1)Cl)C1C(=O)NC(=O)C=1c1cc(NC2CCOCC2)ncc1,0.793382813,2.579779216,383.835,2.8931,-9,-9.1
O=C1NC(=O)C(=C1c1ccnc(NCCc2ccccc2F)c1)c1ccccn1,0.634679877,2.523664372,388.402,2.8375,-8.6,-8.4
c1c(C#N)ccc2[nH]nc(c12)-c1ccnc(c1C)NC1CCC(NC(NC2CC2)=O)CC1,0.488993766,2.805367762,429.528,3.9897,-9.6,-8.8
c1ccc(cc1C1=C(c2ccc(cc2)OC)C(=O)NC1=O)C,0.884919715,2.008186136,293.322,2.57082,-8.2,-7.9
ClCCN(CCCl)c1ccc2c3c(n(c2c1)C)ccc(O)c3,0.702514575,2.557416161,337.25,4.3211,-7.2,-7.4
c1nc(ccc1C1C(NC(=O)C=1c1cc2ccccc2cc1)=O)C,0.739434662,2.254405379,314.344,3.11042,-8.5,-8.5
C1CC1CNc1cccc(c1)C1C(NC(C=1c1cc(ccc1)Cl)=O)=O,0.806028222,2.304160012,352.821,3.7291,-7.9,-7.8
c1(-c2cnc3Nc4ccccc4CCc3c2)ccnc(NC2CCC2)c1,0.706920587,2.48670921,342.446,4.9502,-9.3,-9
n1c(NC2CCCC2)cc(C2=C(C(=O)NC2=O)c2ccc(cc2)Cl)cc1,0.808919745,2.395863336,367.836,3.6567,-8.8,-8.8
N1C(=O)C(=Cc2ccccc2)c2cc(Nc3cccc(F)c3)ncc12,0.696929991,2.258839224,331.35,4.457,-9.3,-8.5
c1cc(C2=C(C(NC2=O)=O)c2ccnc(c2)NC2CCOCC2)ccc1Cl,0.793382813,2.530676849,383.835,2.8931,-8.8,-9
c1c(nccc1C1=C(C(NC1=O)=O)c1cc(NC2CCC2)ncc1)NC1CCC1,0.65759315,2.725025997,389.459,2.9726,-9.4,-8.4
c1c(-c2cc(ncc2)Nc2cccc3ccccc23)ccnc1NC1CCOCC1,0.457687168,2.374530956,396.494,5.6313,-9.2,-9
N1C2CCC(C=1NCc1cccc(F)c1)c1ccc(cc1C2)O,0.891165812,4.242756612,310.372,3.5217,-7.8,-7.4
N(C(C1CCC1)=O)c1nccc(C2C(=O)NC(=O)C=2c2cccc(c2)C(=O)N)c1,0.665744835,2.473682016,390.399,1.4863,-9.6,-8.9
C1CC(CCC1C(N)=O)CCNc1cc(-c2ccnc(NC3CCCC3)c2)ccn1,0.594955337,2.552353403,407.562,4.5918,-8.8,-8.7
c12cc(ccc2c(NC(CCC)=O)n[nH]1)-n1c(n(C)c2cc(ccc12)F)=O,0.581273707,2.536466448,367.384,3.0832,-8.8,-8.4
c1cc(ccc1F)C1=C(C(NC1=O)=O)N1CC(Nc2ccccc2)CCC1,0.818274815,2.768558027,365.408,2.7697,-8.3,-8.2
c1c(ccc(c1)F)C1=C(c2ccc(C(N)=O)cc2)C(=O)NC1=O,0.841772581,2.072815254,310.284,1.4918,-8.7,-8.2
c1ccc(F)cc1C1C(NC(C=1c1cccc(F)c1Cl)=O)=O,0.864154688,2.316028275,319.694,3.1854,-8.2,-7.9
c1c(N2CCOCC2)cc(C2=C(c3cc(ccc3)F)C(=O)NC2=O)cc1,0.860983738,2.302852259,352.365,2.2295,-8.7,-9.4
N(C1CCC(CC1)C(=O)NCC)c1nccc(c1)-c1cc2c([nH]nc2NC(C)=O)cc1,0.485908212,2.578014335,420.517,3.6901,-9.1,-9.1
c1cc(-c2ccnc(NC3CCCC3)c2)ccc1CNC(=O)C1CCCCC1,0.71811995,2.100697813,377.532,5.2996,-9.4,-8.8
n1ccc(c2c1n(cc2)-c1ccc(F)cc1Cl)NC1CCC(CC1)OC,0.683796168,2.590996259,373.859,5.1875,-8.1,-7.8
C1C(CCC(NC(=O)C)C1)Nc1sc2CCN(c3c(Cl)cccc3)Cc2n1,0.800576443,2.528914128,404.967,4.2184,-8.4,-8.2
CCCC(=O)Nc1cc(C2C(=O)NC(C=2Nc2cc(Cl)c(Cl)cc2)=O)ccn1,0.621612634,2.524880917,419.268,3.6066,-8.8,-8
c12c(CCC1=Cc1cc(ccc1)OC)cc(cc2)OC,0.828950671,2.013858766,266.34,4.1906,-7.8,-7.7
c12c(NC3CCOCC3)nc(-c3cc(OC)cnc3)nc2n(c(=O)cc1C)C,0.741321958,2.756999083,381.436,2.29842,-8.6,-8.4
c1c(cc(-c2cc(ncc2)NCC2CCOCC2)cc1)C(N)=O,0.889753086,2.21812967,311.385,2.686,-8.2,-8
C1CC1C(=O)Nc1ccc2c(c1)c(C=C1C(=O)NC(=O)NC1=O)c[nH]2,0.497303043,2.480962665,338.323,1.2658,-8.8,-8.6
c1c(C2=C(C(=O)NC2=O)Nc2ccc(F)cc2)ccc(c1)O,0.757465743,2.175208717,298.273,2.0109,-8.3,-7.9
N#Cc1c2ccn(Cc3ccc(F)cc3F)c2ccc1,0.693814194,2.158900411,268.266,3.83948,-7.7,-7.4
O(C)c1cc(Nc2nccc(C3C(=O)NC(=O)C=3c3ccccc3)c2)ccc1,0.672135159,2.258771647,371.396,3.401,-9.3,-8.8
c1c(NC2=C(c3cccc(c3)O)C(=O)NC2=O)ccc(c1)F,0.757465743,2.238519139,298.273,2.0109,-8.6,-8
c1cc(cc2c1c(NC(CCC)=O)n[nH]2)-n1c(-c2ccnc(c2)NC2CCCC2)n[nH]c1=O,0.342796506,2.822824218,446.515,3.592,-9.3,-8.6
C1(C(=O)NCc2c(F)cccc2)CCN(c2cc(F)ccc2)CC1,0.930503925,1.842032804,330.378,3.4976,-8.2,-8.2
C1CC(Nc2c(C3C(C3)C(=O)N)cc3c(cccc3Cl)n2)CCC1O,0.781763435,3.392881316,359.857,3.1924,-8.4,-9
c1c(-n2c3ncc(cc3cc2)-c2ccccc2)cc(nc1)NC1CCOCC1,0.566725314,2.500605896,370.456,4.6784,-9.4,-9
N1C(=O)C(=C(C1=O)c1cc(NC2CCC2)ncc1)c1cc(OC)ccc1,0.811326201,2.423697473,349.39,2.6218,-8.9,-8
c1cc(cc(c1F)C1=C(C(=O)NC1=O)c1ccnc(NC2CCOCC2)c1)F,0.790955113,2.684848506,385.37,2.5179,-9.1,-9.3
C1(c2cc(ncc2)NC2CCOCC2)=C(C(=O)NC1=O)c1cc(NC2CCCC2)ccc1,0.604398265,2.705918371,432.524,3.5942,-10,-8.9
c1nc(-c2ccnc(NC(C)C3CCOCC3)c2)c2cc[nH]c2n1,0.770638451,3.174378562,323.4,3.2469,-8.2,-8.6
c1c(ncc(-c2n[nH]c(n2-c2cc3ccccc3cc2F)=O)c1)NC1CCNCC1,0.486604711,2.68021162,404.449,3.0788,-9.3,-9.6
c1ccc(cc1)C1=C(c2cc(NC3CCCC3)ncc2)C(NC1=O)=O,0.843948257,2.337633323,333.391,3.0033,-8.8,-8.7
c1cc(C2=C(C(=O)NC2=O)Nc2cc3cc([nH]c3cc2)C#N)cc(Cl)c1,0.623141883,2.770236766,362.776,3.17258,-9.1,-8.9
c1c(ccnc1NC1CCCCC1)-c1n[nH]c(n1-c1cc2c(cccc2)cc1)=O,0.541504159,2.427246496,385.471,4.5204,-9.4,-9.9
c12c(nc(c(C3CCOCC3)n1)NC(CCC)=O)cc(Cl)c(Cl)c2,0.85877743,2.560745926,368.264,4.5692,-8,-7.7
C1(CCOCC1)Nc1nc(cc(C2C(NC(=O)C=2c2cccc(c2)F)=O)n1),0.799341023,2.656453181,368.368,1.7738,-9,-8.8
c1c(cccc1OC)C1C(=O)NC(C=1c1ccnc(NCc2cc(N)ccc2)c1)=O,0.433958981,2.460348272,400.438,2.8517,-9.2,-8.8
C1(C(c2cccc(OC)c2)=C(C(=O)N1)c1ccc(N2CCOCC2)cc1)=O,0.84184523,2.223178625,364.401,2.099,-8.3,-8.1
c1cc(ccc1-c1cc2c([nH]nc2NCCCC)cc1)F,0.672762202,2.042127353,283.35,4.581,-7.9,-7.7
c1(ccccc1-c1ccc2[nH]nc(NC(CCC)=O)c2c1)C(=O)O,0.667395894,2.133060632,323.352,3.6667,-8.5,-7.9
n1c(NC2CCOCC2)cc(-c2cc3c(cccc3)cc2)c([nH]1)=O,0.777341225,2.349599651,321.38,3.181,-9.7,-9
c1c(ccc(NC(C2CCCN(C2)C(C)=O)=O)c1)Nc1c2c(ccc(c2)Cl)ncc1,0.631146961,2.597067444,422.916,4.8288,-9.8,-9
c1cc(ncc1-c1n[nH]c(n1-c1cc2c(cccc2Cl)cc1Cl)=O)NC1CCOCC1,0.466275332,2.774974473,456.333,4.6735,-9.5,-9.5
C1(NC(C(=C1c1cc(ncc1)NC1CCCC1)c1ccc(F)cc1)=O)=O,0.830425976,2.400630105,351.381,3.1424,-9.2,-8.7
n1c(sc(-c2ccnc(n2)NC2CCOCC2)c1)C1CCOCC1,0.917376834,2.794505881,346.456,3.085,-8,-7.7
N1C(C(Nc2cc(ccn2)-c2c(F)cc(NC3CCC3)cc2)=C1)=O,0.789843853,2.772921767,324.359,3.2352,-8.4,-8.2
n1ccc(cc1NC(C)C)-c1ccc2c(CCC(N2C)=O)c1,0.942635089,2.328009958,295.386,3.4779,-8.3,-8.1
c1cc(ccc1F)C1C(=O)NC(C=1c1ccnc(NC2CCC2)c1)=O,0.841806812,2.399366946,337.354,2.7523,-8.7,-8.4
c1cc(F)ccc1-c1n[nH]c(n1-c1ccc2c(c1)cccc2)=O,0.615811908,2.028274101,305.312,3.5199,-8.7,-8.8
C1(Nc2cc(ccn2)C2=C(C(NC2=O)=O)c2cc(ccc2)OC)CC1,0.819235109,2.409685256,335.363,2.2317,-8.4,-7.8
Fc1ccccc1C1=C(c2cc(N)ncc2)C(NC1=O)=O,0.815120659,2.383799031,283.262,1.3701,-7.7,-7.9
c1(c(cccc1)C1C(NC(=O)C=1c1ccc(cc1)Cl)=O)Cl,0.860728599,2.00904701,318.159,3.5606,-7.5,-7.8
C(C)(C1C(=O)NC(=O)C=1c1nccc(c1)C1CC1)=O,0.645178876,2.767011074,256.261,0.958,-7.4,-7
c1c(-c2noc(n2)C2C(NC(C=2c2ccc(F)cc2)=O)=O)ccc(F)c1,0.731773008,2.349134063,353.284,2.582,-9.2,-9
c1cc(cc(n1)NC1CCOCC1)-c1ccnc(c1)NC1CC1,0.887057124,2.430474388,310.401,3.3088,-7.6,-7.2
c1c(Cl)ccc(C2=C(c3cc(NC4CCOCC4)ncc3)C(NC2=O)=O)c1,0.793382813,2.530676849,383.835,2.8931,-8.8,-9.1
C(=O)(Nc1n[nH]c2c1cc(c(Cl)c2)F)CCC,0.885436474,2.307285567,255.68,3.094,-7,-6.5
C1(c2nc(ccc2)-c2cc(C3CCOCC3)on2)C(NC(=O)C=1c1ccc(cc1)F)=O,0.652168184,2.847351396,419.412,3.3369,-10,-9.6
c1(ccc(O)cc1)C1C(=O)NC(=O)C=1c1cccc(OC)c1,0.848869701,2.104573233,295.294,1.968,-7.9,-7.7
C1(CCC(Nc2nc3c(cc2)c2c([nH]3)cc(cc2)Cl)CC1)NC(=O)C,0.65737372,2.421028159,356.857,4.2287,-8.6,-8
N1C(=O)C(c2ccc(cc2)Cl)=C(c2ccc(cc2)Cl)C1=O,0.860728599,1.948759687,318.159,3.5606,-8.3,-7.4
C1C2N(OCC2CN(C1)Cc1cc(OC)c(cc1)OC)C(c1cccc(F)c1)=O,0.772010982,3.244246158,400.45,3.121,-8.8,-8.8
c1c(cccc1)C1C(NC(=O)C=1c1cn(c2ccc(cc12)O)C)=O,0.713044405,2.337873754,318.332,2.4511,-8.5,-8.3
c1c(NC)ccc2c3c(ncc21)ccc(c3)CCC(=O)NCCO,0.609331552,2.2605017,323.396,2.4708,-8.3,-7.9
C1(NC(=O)C(=C1c1ccnc(NC2CCCC2)c1)c1ccc(Cl)c(Cl)c1)=O,0.748155491,2.503487001,402.281,4.3101,-9.1,-8.1
c1c(NC2=C(c3ccccc3)C(NC2=O)=O)cc(cc1)N1CCOCC1,0.826502301,2.263869773,349.39,2.0028,-8.6,-8.5
C1CCC(C1)Nc1nccc(C2=C(c3cc(c(cc3)Cl)Cl)C(NC2=O)=O)c1,0.748155491,2.503487001,402.281,4.3101,-8.9,-8.9
C1(c2ccnc(c2)NC2CCC(OC)CC2)C(=O)NC(=O)C=1c1cc(C)ccc1,0.764514025,2.619985403,391.471,3.32672,-9.2,-8.9
c12c(nccc1cccc2)NC(=O)CCC,0.852990957,1.813259847,214.268,2.9734,-6.8,-6.4
C(C)(C)n1c2c(cc3c(c2)C(=O)NC3=O)c2ccccc12,0.694543742,2.358782082,278.311,3.259,-8.3,-8.6
C1(O)C(=C(C(N1)=O)c1cc(NC2CCC2)ncc1)c1ccccc1,0.808298099,3.063511795,321.38,2.405,-8.4,-8
c1(NC2CCCCC2)cc(-c2c(n[nH]c2-c2cccc(Cl)c2)N)ccn1,0.597555154,2.447861473,367.884,5.1189,-9.1,-8.6
c1(cc(C2=C(C(NC2=O)=O)c2ccncc2)ccc1)F,0.844636013,2.22207288,268.247,1.7879,-7.6,-7.5
O=C(C1CC1)Nc1nccc(C2C(NC(C=2c2c(cc(cc2)Cl)Cl)=O)=O)c1,0.768650722,2.443010885,402.237,3.3041,-8.8,-8.2
c1cc(Nc2nccc(C3=C(C(=O)NC3=O)c3cc(Cl)cc(Cl)c3)c2)ccc1N,0.428362954,2.542232089,425.275,4.2814,-10,-8.7
O=C(c1ccc(cc1)C1C(=O)NC(C=1c1cccc(OC)c1)=O)O,0.839161738,2.069101461,323.304,1.9606,-8.2,-8.2
C1(=O)CCCC(N1)C(Nc1cc(ccn1)-c1ccnc(c1)Nc1ccccc1)=O,0.622738607,2.822864101,387.443,3.4944,-10.2,-8.9
c1(F)ccc(C(Nc2cc(ncc2)Nc2ccc(cc2)O)=O)cc1,0.636205836,1.855252871,323.327,3.9222,-8.6,-7.7
N(C(C)=O)c1cc(ccn1)C1=C(C(=O)NC1=O)c1cccc(c1)C,0.845420624,2.368420175,321.336,1.91562,-8.6,-8.5
c1cccc(C2=C(c3cc(NC4CCNCC4)ncc3)C(NC2=O)=O)c1,0.734274729,2.522758234,348.406,1.8127,-8.9,-8.8
N(c1cc(ccn1)-c1ccnc(c1)NCC1CCOCC1)C1CCOCC1,0.81237194,2.595336218,368.481,3.573,-8.6,-7.9
C1CC(CCC1Nc1nccc(c1)-c1ccnc(c1C(O)=O)OC)C,0.859375534,2.518475071,341.411,3.841,-8.1,-7.6
N1C(=O)C(c2c3cc(ccc3n(C)c2)C(F)(F)F)=C(C1=O)c1ccccc1,0.698571865,2.401980116,370.33,3.7643,-9.1,-8
c1c(F)cc(cc1)C1=C(C(NC1=O)=O)Sc1cc(ncc1)NC1CCCC1,0.770034456,2.742288684,383.448,3.735,-8.3,-8.3
n1ccc(cc1-c1sc(C(=O)Nc2cc(ncc2)NC2CCOCC2)cc1)F,0.674070618,2.623047507,398.463,4.1874,-9.1,-8.1
c1(NC2CCOCC2)nccc(-c2n[nH]c(n2-c2ccc(cc2)F)=O)c1,0.750426955,2.510373214,355.373,2.3526,-8.4,-8.6
C1NCCC(C1)Nc1cc(C2C(NC(C=2c2ccc(Cl)cc2)=O)=O)ccn1,0.707431978,2.576173891,382.851,2.4661,-8.7,-8.9
N(c1cc(ccn1)C1=C(C(NC1=O)=O)c1ccc(cc1)F)C1CCCCC1,0.813387824,2.407270341,365.408,3.5325,-9.5,-9
c1(C2=C(C(NC2=O)=O)c2ccc(Cl)cc2)ccnc(NC2CCOCC2)c1,0.793382813,2.530676849,383.835,2.8931,-8.9,-9
C(C)OC(NC(C)C)=C1C(Nc2c1ccc(c2)-c1cnccc1)=O,0.653718486,2.66954208,323.396,3.4038,-7.6,-7.5
c1cc(ccc1Nc1nccc(C2C(=O)NC(C=2c2ccc(cc2Cl)Cl)=O)c1)OC,0.562256851,2.374178467,440.286,4.7078,-9.4,-8.4
Clc1cc2c(cc1)c(NC1CCC(NC(=O)NC3CCCC3)CC1)n[nH]2,0.646552483,2.424709247,375.904,4.1812,-9,-7.8
O=C1NC(C(=C1c1ccc(OC)cc1)c1ccnc(NC2CCOCC2)c1)=O,0.774833116,2.510002416,379.416,2.2483,-9.2,-8.9
c1(F)c(c(F)ccc1)C1=C(c2cn(c3ccccc32)C)C(=O)NC1=O,0.730443395,2.426885522,338.313,3.0237,-8.7,-8.9
c1c(-c2ccc(c(c2)F)C(N)=O)ccc(c1)NC1CC(NC2CC2)CCC1,0.721013524,2.982582564,367.468,4.0667,-8.4,-7.9
c1ccc(F)c(-c2ccnc(c2)Nc2cc(CN3CCOCC3)ccc2)c1,0.726037222,2.069761154,363.436,4.4635,-8.9,-8.5
N1C(=O)C(c2ccnc(NC3CCOCC3)c2)=C(C1=O)c1ccnc(OC)c1,0.760421373,2.771291305,380.404,1.6433,-9.1,-8.6
Fc1c(cc(C2=C(c3cc(ncc3)NC(C3CC3)=O)C(NC2=O)=O)cc1)F,0.809651844,2.468484116,369.327,2.2755,-8.6,-8.8
c1ccccc1NC1=C(C(NC1=O)=O)c1cc(ncc1)NC1CCC1,0.732013348,2.429849313,334.379,2.5256,-8.2,-8.3
C1(C)C(n2c(n(c(=O)c3c2ccc(c3)Cl)-c2ccccc2)=O)CCCC1,0.6652733,2.893004865,368.864,4.557,-9.1,-9.3
C1(C(=C(C(N1)=O)c1ccc(F)cc1)c1ccnc(c1)NC1CCCCC1)=O,0.813387824,2.407270341,365.408,3.5325,-9.4,-8.7
C1(=C(c2ccnc(NC3CCOCC3)c2)C(=O)NC1=O)c1ccc(cc1)F,0.81135624,2.535260281,367.38,2.3788,-9,-8.9
c1(nccc(C2=C(C(NC2=O)=O)c2ccc(F)cc2)c1)NC1CCOCC1,0.81135624,2.535260281,367.38,2.3788,-9.1,-8.9
C1CC(Nc2cc(cc(F)c2)F)CCC1NC(=O)C1CCOc2cc(Cl)ccc12,0.729442624,2.969900893,420.887,5.0238,-9.2,-8.6
C1CN(C(C)=O)Cc2cc(ccc21)C1=C(c2ccncc2)C(NC1=O)=O,0.836270361,2.50440371,347.374,1.5534,-9.2,-9
C1(c2ccc(F)cc2)C(NC(C=1c1ccc(Cl)c(c1)Cl)=O)=O,0.850313677,2.123716548,336.149,3.6997,-7.9,-7.7
c1nc2c(n1-c1cc3c(cccc3)cc1)ccnc2NC1CCCCC1,0.54788371,2.33597091,342.446,5.3183,-9.2,-9.1
O=c1[nH]c(ccn1C)=O,0.488107589,2.461139546,126.115,-0.9264,-4.6,-5
CCNC(=O)C1CCC(CC1)Nc1cc(-c2cc(ncc2)Nc2ccccc2)ccn1,0.506385335,2.347721117,415.541,4.994,-9.2,-8.6
n1c(ccc(C2C(NC(=O)C=2c2cc(NC3CCCCC3)ncc2)=O)c1)NC1CCC1,0.619700957,2.712799088,417.513,3.7528,-9.5,-9.1
c1c2NC(C(c2cc(F)c1)=Cc1ccc(OCCN2CCOCC2)cc1)=O,0.824593652,2.23320639,368.408,3.0294,-8.7,-8.3
COc1ccc(C2=C(C(NC2=O)=O)Nc2cc(NCCCO)ccc2)cc1OC,0.378388842,2.416203383,397.431,1.9777,-8.1,-7.8
c12c(nc(nc2)NC2CCOCC2)[nH]nc1-c1ccc(CO)cc1,0.679713959,2.563117094,325.372,2.1031,-8.2,-7.8
C(C)(=O)NC1CCC(Nc2nnc3cc(ccc3c2)-c2cnccc2)CC1,0.742771347,2.460106293,361.449,3.551,-9,-8.6
c1cc(ccc1C1=C(C(NC1=O)=O)c1ccnc(c1)NCC)F,0.849453451,2.36362995,311.316,2.2197,-7.7,-7.9
c1(Cl)cc(C2=C(C(NC2=O)=O)c2ccc(Cl)cc2)ccc1,0.860728599,2.047452486,318.159,3.5606,-8.4,-7.7
c1cc(cc(NCCCCC)n1)C1C(=O)NC(C=1c1cc([nH]cc1)=O)=O,0.521773462,2.734938429,352.394,1.9392,-8.3,-9.1
n1c(Nc2ccc3c(OCCO3)c2)nccc1-c1ccnc(c1)Nc1ccccc1,0.500673913,2.287567879,397.438,4.797,-9.9,-8.7
C1(CC1)C(Nc1cc(ccn1)C1C(NC(C=1c1ccc(cc1)F)=O)=O)=O,0.826296828,2.34537343,351.337,2.1364,-8.3,-8.6
N(c1nccc(c1)-c1scc(n1)C(N)=O)C(=O)C1CCCCC1,0.900286181,2.283567745,330.413,2.8228,-8.2,-7.8
c1cc(Cl)ccc1C1C(=O)NC(C=1c1cc(NC2CCOCC2)ncc1)=O,0.793382813,2.530676849,383.835,2.8931,-8.8,-9.1
c1(cc(ccc1)C1C(=O)NC(C=1c1ccnc(NC2CCOCC2)c1)=O)OC,0.774833116,2.557756263,379.416,2.2483,-9.1,-8.8
c1(ccc2c(c1)[nH]nc2NC(CCC)=O)-c1ncc(cc1)F,0.774075026,2.308688192,298.321,3.5026,-8,-7.4
C(NC)(=O)Nc1cccc(c1)C1=C(c2ncc(Cl)cc2)C(NC1=O)=O,0.732621608,2.445961566,356.769,2.0535,-8.7,-8.4
c1c(ccc(c1)C1=C(C(NC1=O)=O)c1ccc(cc1)F)F,0.861840499,1.960878592,285.249,2.532,-8.1,-7.6
C1CC1Nc1cc(ccn1)C1=C(c2ccc(Cl)cc2)C(NC1=O)=O,0.840206794,2.381303845,339.782,2.8765,-8.3,-7.8
Fc1ccc(C2=C(c3ccc(cc3)F)C(=O)NC2=O)c(F)c1,0.867067392,2.148955135,303.239,2.6711,-8.4,-7.9
N1C(=O)C(c2ccccc2)=C(C1=O)c1cc(ncc1)NC1CCOCC1,0.827718733,2.476063902,349.39,2.2397,-8.8,-8.7
c1cnc(NC2CCN(CC2)C(=O)C)c2cc(-c3ccc(cc3)Cl)c(Cl)nc12,0.610230844,2.365327737,415.324,5.0264,-9.1,-9
c1n(c2c(cc(NC3CCOCC3)nc2)c1C1C(=O)NC(=O)C=1c1ccc(F)cc1)C,0.634329285,2.801033868,420.444,2.8705,-9.4,-8.3
c1cccc(n1)C1=C(c2cnc(cc2)NC2CCOCC2)C(=O)NC1=O,0.814437546,2.655941838,350.378,1.6347,-8.7,-8.3
c1(nccc(-c2cc(ncc2)NC(C)C)c1)NC1CCOCC1,0.88387345,2.465576972,312.417,3.5548,-7.6,-7.8
O=C1C(=C(C(=O)N1)c1ccc(cc1)Nc1ccccc1)c1ccc(C)cc1,0.686727361,2.01864253,354.409,4.30582,-8.8,-9.7
c1(NC(=O)C2=C(c3c(Cl)cccc3)CCOC2)cc(C2CC2)ncc1,0.883466616,2.724207005,354.837,4.425,-8.8,-7.4
c1(NC2C(=O)NC(C=2c2cccc(c2)CO)=O)ccc(F)cc1,0.752317357,2.241837051,312.3,1.7976,-8.1,-7.9
c1(nc(NC2CCOCC2)ncc1)C1C(NC(C=1c1ccc(F)cc1)=O)=O,0.799341023,2.603099335,368.368,1.7738,-9,-8.8
c1(F)cccc(c1)-c1nc(C(N)=O)[nH]c1-c1ccnc(c1)NC1CCC1,0.656638469,2.579564001,351.385,3.3411,-9,-8.4
